Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"Проект дома №48-13 площадью 275,86 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_62_floor_plans_forest_static/48-13.jpg,Удобные планировки домов,,"Проект дома №48-13: площадь 275,86 м², 2 этажа, габариты 8.7×14.7 м, материал стен — газобетон. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/48-13?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_forest_static_batch_62&utm_content=pin_11728_48-13_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 48-13, проект дома 275,86 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, газобетон, catalog-plans.ru"
Проект дома №45-64NTAKL площадью 256 м² с планировками,https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_63_floor_plans_minimal_static/45-64NTAKL.jpg,Современные проекты домов,,"Проект дома №45-64NTAKL: площадь 256 м², 2 этажа, габариты 12.78×13.28 м, материал стен — кирпич. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/45-64NTAKL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_minimal_static_batch_63&utm_content=pin_11928_45-64NTAKL_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 45-64NTAKL, проект дома 256 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, кирпич, catalog-plans.ru"
Проект дома №33-52 площадью 411 м² с планировками,https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_61_floor_plans_sunset_static/33-52.jpg,Планы домов и коттеджей,,"Проект дома №33-52: площадь 411 м², 2 этажа, габариты 15.07×15.63 м, материал стен — кирпич. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/33-52?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_sunset_static_batch_61&utm_content=pin_11529_33-52_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 33-52, проект дома 411 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, кирпич, catalog-plans.ru"
"Проект дома №59-97N площадью 153,44 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_62_floor_plans_forest_static/59-97N.jpg,Удобные планировки домов,,"Проект дома №59-97N: площадь 153,44 м², 2 этажа, габариты 10.4×11.5 м, материал стен — газобетон. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/59-97N?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_forest_static_batch_62&utm_content=pin_11729_59-97N_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 59-97N, проект дома 153,44 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, газобетон, catalog-plans.ru"
"Проект дома №68-34L площадью 133,07 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_63_floor_plans_minimal_static/68-34L.jpg,Современные проекты домов,,"Проект дома №68-34L: площадь 133,07 м², 1 этаж, габариты 10×17 м, материал стен — газобетон. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/68-34L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_minimal_static_batch_63&utm_content=pin_11929_68-34L_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 68-34L, проект дома 133,07 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, газобетон, catalog-plans.ru"
"Проект дома №45-76HGL площадью 198,73 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_61_floor_plans_sunset_static/45-76HGL.jpg,Планы домов и коттеджей,,"Проект дома №45-76HGL: площадь 198,73 м², 2 этажа, габариты 10.92×16.36 м, материал стен — газобетон. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/45-76HGL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_sunset_static_batch_61&utm_content=pin_11530_45-76HGL_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 45-76HGL, проект дома 198,73 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, газобетон, catalog-plans.ru"
Проект дома №50-97 площадью 192 м² с планировками,https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_62_floor_plans_forest_static/50-97.jpg,Удобные планировки домов,,"Проект дома №50-97: площадь 192 м², 2 этажа, габариты 12.5×14.5 м, материал стен — кирпич. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/50-97?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_forest_static_batch_62&utm_content=pin_11730_50-97_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 50-97, проект дома 192 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, кирпич, catalog-plans.ru"
"Проект дома №49-97 площадью 100,5 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_63_floor_plans_minimal_static/49-97.jpg,Современные проекты домов,,"Проект дома №49-97: площадь 100,5 м², 2 этажа, габариты 8.8×11.1 м, материал стен — натурального камня. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/49-97?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_minimal_static_batch_63&utm_content=pin_11930_49-97_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 49-97, проект дома 100,5 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, натурального камня, catalog-plans.ru"
"Проект дома №57-76KL площадью 337,81 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_61_floor_plans_sunset_static/57-76KL.jpg,Планы домов и коттеджей,,"Проект дома №57-76KL: площадь 337,81 м², 2 этажа, габариты 15.44×17.55 м, материал стен — газобетон. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/57-76KL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_sunset_static_batch_61&utm_content=pin_11531_57-76KL_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 57-76KL, проект дома 337,81 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, газобетон, catalog-plans.ru"
"Проект дома №48-60A площадью 94,94 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_62_floor_plans_forest_static/48-60A.jpg,Удобные планировки домов,,"Проект дома №48-60A: площадь 94,94 м², 1 этаж, габариты 11.9×11.9 м, материал стен — кирпич. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/48-60A?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_forest_static_batch_62&utm_content=pin_11731_48-60A_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 48-60A, проект дома 94,94 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, кирпич, catalog-plans.ru"
